BP_Author full name,BP_Author last name first,BP_Brief Summary of the Work,BP_Description_1,BP_Title,BP_Date Published,BP_Edition Number,BP_Provenance,BP_Publication Place,BP_Collation/Pagination/Foliation,BP_BibliographicNotes
Author,Author Last Name,Brief Description,Content,Title,Date Published,Edition,Provenance,Publication Place,Binding Size Pagination,Notes
"Titi, Placido","Titi, Placido","Astronomy, mathematics",,"De diebvs decretoriis et aegrorvm decvbitv, ad iuuandam pręclaram artis medicę professionem,",1660,0,,Pavia,"Full vellum, 16 x 20, [frontis][half title][title], 12 pps, 263 pgs, [volume 2 title], 5 pps, [errata], [frontis], 264 pgs, 2 pps","Two volumes, bound in one; volume 2 imprint Ticini, Ex officina Joannis Ghidini, 1665"
"Monte, Theodoro di","Monte, Theodoro di","River control, Adige River",,"Compendio di tutti li raccordi et suppliche presente da diuersi alla serenissima Signoria di Venetia … in proposito d'irrigare la campagna di Verona, cosi con l'acqua dell'Adige, come con quella del Lago",1594,0,,Verona,"Full vellum, 14 x 19 cm, [title], 9 pps, 116 pgs, 146 pgs (pagination missing,  incorrect, and listed to pg 118), 1 folding map at pg 12/13",Written notes and corrections and corrected pagination throughout
"De Bosio, Casimiro","De Bosio, Casimiro","Water use, rights",,"Dei consorzi d'acque del Regno Lombardo-Veneto : della loro instituzione, organizzazione ed amministrazione, della competenza, delle autorità e della procedura relativa : trattato amministrativo-legale",1855,0,,Verona,"Leather backed, green cloth, 21 x 28 cm, [half title][title], 1 pp, 6 pp, vi, 127 pgs, [errata][second title - appedices], 2 pps, 334 pgs, [errata], 3 tables, 9 folding maps",
"Kutter, W.R.","Kutter, W.R.; Bosco, Benedetto del",Open channel flow,,Le nuove formole sul moto dell'acqua nei canali e negli alvei sistemati dei fiumi,1873,0,,Milano,"Leather backed, blue marbled paper, 18 x 26 cm, [title], xx, 271 pgs, table, 7 folding plates",
"Scotini, Gedeone","Scotini, Gedeone",Lower Po River basin,,Memorie idrauliche premesse ai progetti per la regolazione delle acque delle provincie sulla destra del Basso-Po.,1865,0,,Torino,"Printed wraps, 22 x 32 cm, [half title][title], 179 pgs, 7 folding plates",
,Tevere River,Tevere River control,,Relazione che accompagna il progetto di una nuova inalveazione del Tevere attraverso i prati di Castello dalla risvolta della Farnesina a valle di po nte Milvio fino a quella di S. Spirito a valle di ponte Elio,1879,0,,Rome,"Printed wraps, 23 x 30 cm, [title], viii, [half title], 79 pgs, 1 pp, 6 folding plates",
"Franck, Mathieu","Franck, Mathieu","La Meuse, Liege",,"De la Dérivation de la Meuse, au point de vue des intérêts généraux du commerce et de l'industrie, de la nécessité d'une station intérieure reliant la Meuse au chemin de fer, de l'avenir de Liège sous l'influence de ces améliorations",1845,0,,Liège,"Printed wraps, 15 x 23 cm, [half title][title], 1 pp, 118 pgs, 5 pps, 2 folding plates",Author name taken from Worldcat listing
"Lanino, Giuseppe","Lanino, Giuseppe",Foggia- Napoli,,Ferrovia Foggia-Napoli : Gallerie per la traversata dell'appennino - Desegni,1875,0,,"Foggia, Napoli","Printed boards, 29 x 41 cm, [title], 2 double folded maps, 8 double plates",
Huang Yi,"Huang, Yi","Grand (Imperial) Canal, China",,Map of the grand or imperial canal: illustration of river conservancy projects for a memorial to the throne (hegong tu gongzhe),1783,0,Floyd Scully,Jining,"Folding map in boards, 10 x 20.5 cm (exterior), map 10 x 204 cm, manuscript pen and ink with colour on paper, 13 manuscript pasted on notes, 3 red stamps","Description pg 43, ""All under heaven, the Chinese world in maps, pictures, and texts from the collection of Floyd Sully"", curated by Walter Davis, University of Alberta Libraries, Edmonton, 2013"
,Mathematics manuscript,Mathematics and geometry,"Manuscript on mathematics with some geometrical drawings, including a 'cycloiden'",'Notes on mathematics',1845,0,Bookplate: Juniata College Library.,Hannover,"Marbled paper covered boards with leather spine, with a paper titling label on upper cover, 21 x 32cm, 340 pp., 1 plate tipped in.",
,Metallurgy manuscript,Metallurgy,"Notebook on metallurgy, possibly for a course?",Métallurgie: Etude des aciers et fontes …,1900?,0,"Inittials ""C.M."" stamped at base of spine; ""Musé commerciale, rue des Augustins, Bruxelles"" in manuscript on front endpaper.",Brussels,"Black leather with spine stamped in gold, original green wrappers bound in, 22 x 28.5cm, 79 pp., mansuscript carbon copy leaves, with blank leaves interleaved; 5 sheets of manuscript diagrams and forumlas laid in at back.",
,Mathematics manuscript,Arithmetic,Manuscript on arithmetic with several diagrams and tables.,"A system of arithmetic of abstract numbers, part I",1850c,0,"Binder's ticket: James Dewar, Bookseller Stationer & Bookbinder, Perth.",Perth (England),"Half bound in marbled paper and red leather, 21 x 26cm, 150 pp. manuscript in ink.",Both boards detached.
,Geometry manuscript,Geometry,"Manuscript on practical geometry, with watercolour diagrams.","Practical geometry, part I",1850c,0,"Binder's ticket: James Dewar, Bookseller, Stationer & Bookbinder, Perth",Perth (England),"Half bound in marbled paper and red leather, 21 x 26cm, 110 pp., manuscript in ink and watercolour.",
,"Lawler, J.W.",,"Manuscript notebook with notes and  sketchesfor various rail-related projects including rail cars, tracks, bridges and individual mechanical elements. Also designs for furniture and lighting fixtures.","Railway engineer’s notebook, with miscellaneous furniture designs",1920c,0,"Author’s identity, location and date inferred from a typescript letter addressed to “J.W. Lawler, American Car & Foundry Co., St. Charles, Missouri” laid in at back.","St. Charles, Missouri","Tan leather boards, 12 x 20cm, 144 pp., manuscript in pencil, ephemera laid in at back.",Front cover detached and spine missing.
Timmothy Harrington,"Harrington, Timmothy",Stone masonry,Manuscript diary of a mason working on various government buildings in Rhode Island and Massachusetts.,Mason’s diary,1904,0,Author’s autograph on front endpaper.,"Newport, Rhode Island, United States","Half bound in black cloth and maroon leather with gold tooling, 20 x 27cm, 154 pp., manuscript in ink with some drawings.",Entires dated 1904-1913.
J.L. Combes,"Combes, J.L.",C. & N.W. Railway,"Notebooks documenting the building of underground tunnels associated with the C&NW Railroad. Includes sketches, detailed measurements, schedules, expenses, supplies used, wages, etc., as well as Combes' personal observations.",Chicago & North Western Railway notebooks,1909,0,Author's autograph.,Chicago,"17 notebooks, each 15.5 x 9.5cm, each approximately 70 pp., manuscript notes in ink and pencil.",
,"James, Loudon & Hertzberg; James, E.A.",,"Report by consulting engineers estimating cost of construction of a water supply system for Woodbridge, Ontario.","A report on a water supply for the village of Woodbridge, Ontario.",1916,0,Includes letter signed by E.A. James,Woordbridge,"Brown paper folder, 23 x 29cm, 10 typescript leaves.",Dated April 1916.
,"Canada, Legislative Assembly",Toronto and Lake Huron Rail Road Company,,Report of the select committee of the Honorable the Legistlative Assembly of the Province of Canada on the petition of the Toronto and Lake Huron Rail Road Company,1845,0,,Montreal,"Unbound, 24.5 x 38cm, 3, [1] pp.",Dated February 1845.
,"Brooman, R.A.; Reed, E.J.",,,"Mechanic's magazine, no. 1829, vol. 69",1858,0,,London,"Green printed paper wrappers, 13 x 21cm, [1], 194-216 pp. (i.e. 12 pages), advertisements printed on endpapers.","Dated Saturday, August 28, 1858."
,"Mellan, Freda J.",Bytown and Prescott Railway,See title.,"A history of the Bytown and Prescott Railway, presented at the unveiling ceremony of the plaque erected to commemorate the Bytown Prescott Railway, held in Prescot, August 5th, 1970",1970,0,"Inscription by author (photocopy): ""Presented with my compliments, Frida J. Mellan.",Prescott,"Unbound,  22 x 25cm, 12 leaves, photocopy typescript, with some ms annotations.",
Narcisse M. Cantin,"Cantin, Narcisse M.",Narcisse M. Cantin,,Great Lakes to ocean route: a speedy navigable waterway from the Great Lakes to ocean.,1920c,0,,Montreal?,"Unbound, 18.5 x 18.5 cm, 4 pp.",
Narcisse M. Cantin,"Cantin, Narcisse M.",Narcisse M. Cantin,"Article on history of St. Joseph, Huron County and Narcisse M. Cantin.",St. Joseph: the ghost town of Narcisse M. Cantin,Unknown,0,,St. Joseph,"Unbound, 26.5 x 20 cm, 5 typescript pp.",
Narcisse M. Cantin,"Cantin, Narcisse M.",Narcisse M. Cantin,"Obituary notices from London Free Press and the Globe and Mail, dated Jan. 16 and 17, 1940.",Narcisse Cantin obituary  notices,1940,0,,Unknown,"Unbound, 21.5 x 30 cm, 2 typescript pp.",
John By,"Phillips, A.T.",John By,"Coorespondence with the School of Military Engineering, UK regarding John By.",Correspondence regarding Lieut. Col. John By,1913,0,,Ottawa,"1 postcard, 1 letter, 1 sheet ms. notes, various sizes.","Dated March 5, 1910 and Feb 8, 1913."
Samuel Keefer,"Keefer, Samuel",Samuel Keefer,,Letter from Samuel Keefer to Henry?,1871,0,Signed: Samuel Keefer,Brockville,1 autograph letter.,"Dated March 23, 1871."
,Montreal Water Works,Montreal Water Works,Statements and receipts for water services from the Montreal Water Works.,Montreal Water Works receipts and statements,1840c,0,,Montreal,"9 printed statements with manuscript annotations, various sizes.",Dated 1839 to 1841.
Samuel Keefer,"Keefer, M.W.",Samuel Keefer,,Letter from Samuel Keefer,1889,0,,Brockville,3 page autograph letter,"Dated December 19, 1889."
John By,"Canada, Government of",John By,Commemorating Lieut. Col. John By and the Rideau Canal.,John By commemorative envelopes and stamps,1979,0,,Ottawa,3 envelopes and 17 loose stamps,Dated 1979 and 1980.
,"Canada, Government of",Canadian bridges,"Commemorating 4 notable Canadian rail and road bridges for the 20th World Road Congress: The Quebec Bridge, Quebec; the 401-203-410 Interchange, Mississauga; the Hartland Covered Bridge, New Brunswick; and the Alex Fraser Bridge, Vancouver.",Commemorative stamps and envelopes,1995,0,,Montreal,5 envelopes and 20 stamps,
Ebenezer Timmis,"Timmis, Ebenezer",Fire hose apparatus design,Patent design for a fire fighting apparatus that elevates water via pipes.,In Her Majesty's Royal Letters Patent: Ebenezer Timmis,1890?,0,,London?,"Engraving, 23.5 x 29.5 cm, 1 leaf.",
Samuel Keefer,"Keefer, Samuel; Morgan, Henry J.",Samuel Keefer,Letter from Keefer to Morgan regarding Keefer's biography.,Letter from Samuel Keefer to Henry J. Morgan,1884,0,,Brockville,"Manuscript letter, 13 x 20 cm, 3 pp.","Dated March 10, 1884."
