Seq 1,Seq 2,Author Last Name,Title,Date Published,Seq 3,Seq 4,Brief Description,Seq 5,Empty 1,,Storage,Publication Place,Empty 2,Edition,Seq 7,Seq 8,Binding Size Pagination,Content,Provenance,Notes,Empty 3,Author,Condition,Boolean 1,Boolean 2,Date Acquired,Another Date,Stuff 1,Empty 4,Place,Empty 5,Empty 6,Seq 9
3340,1506,"Titi, Placido","De diebvs decretoriis et aegrorvm decvbitv, ad iuuandam pręclaram artis medicę professionem,",1660,7,121,"Astronomy, <i>mathematics</i> and <i>other stuff</i>.",11,,1,Library,Pavia,,0,1610,10,"Full vellum, 16 x 20, [frontis][half title][title], 12 pps, 263 pgs, [volume 2 title], 5 pps, [errata], [frontis], 264 pgs, 2 pps",,,"Two volumes, bound in one; volume 2 imprint Ticini, Ex officina Joannis Ghidini, 1665",,"Titi, Placido",Good,Yes,,1/17/2017,,,,On shelf,,,0
3341,1507,"Monte, Theodoro di","Compendio di tutti li raccordi et suppliche presente da diuersi alla serenissima Signoria di Venetia … in proposito d'irrigare la campagna di Verona, cosi con l'acqua dell'Adige, come con quella del Lago",1594,7,113,"River control, Adige River",11,,1,Library,Verona,,0,1611,11,"Full vellum, 14 x 19 cm, [title], 9 pps, 116 pgs, 146 pgs (pagination missing,  incorrect, and listed to pg 118), 1 folding map at pg 12/13",,,Written notes and corrections and corrected pagination throughout,,"Monte, Theodoro di",Very good,Yes,,1/17/2017,4/11/2019,,,On shelf Small,,,0
3342,1508,"De Bosio, Casimiro","Dei consorzi d'acque del Regno Lombardo-Veneto : della loro instituzione, organizzazione ed amministrazione, della competenza, delle autorità e della procedura relativa : trattato amministrativo-legale",1855,6,14,"Water use, rights",14,,1,Library,Verona,,0,1612,11,"Leather backed, green cloth, 21 x 28 cm, [half title][title], 1 pp, 6 pp, vi, 127 pgs, [errata][second title - appedices], 2 pps, 334 pgs, [errata], 3 tables, 9 folding maps",,,,,"De Bosio, Casimiro",Very good,Yes,,1/29/2017,,,,On shelf,,,0
3343,1509,"Kutter, W.R.; Bosco, Benedetto del",Le nuove formole sul moto dell'acqua nei canali e negli alvei sistemati dei fiumi,1873,6,11,Open channel flow,11,,1,Library,Milano,,0,1613,11,"Leather backed, blue marbled paper, 18 x 26 cm, [title], xx, 271 pgs, table, 7 folding plates",,,,,"Kutter, W.R.",Very good,Yes,,1/29/2017,,,,On shelf,,,0
3344,1510,"Scotini, Gedeone",Memorie idrauliche premesse ai progetti per la regolazione delle acque delle provincie sulla destra del Basso-Po.,1865,6,94,Lower Po River basin,14,,7,Library,Torino,,0,1614,11,"Printed wraps, 22 x 32 cm, [half title][title], 179 pgs, 7 folding plates",,,,,"Scotini, Gedeone",Very good,Yes,,1/29/2017,,,,On shelf,,,0
3345,1511,Tevere River,Relazione che accompagna il progetto di una nuova inalveazione del Tevere attraverso i prati di Castello dalla risvolta della Farnesina a valle di po nte Milvio fino a quella di S. Spirito a valle di ponte Elio,1879,6,90,Tevere River control,14,,7,Library,Rome,,0,1616,11,"Printed wraps, 23 x 30 cm, [title], viii, [half title], 79 pgs, 1 pp, 6 folding plates",,,,,,Very good,Yes,,1/29/2017,3/11/2018,,,On shelf,,,0
3346,1512,"Franck, Mathieu","De la Dérivation de la Meuse, au point de vue des intérêts généraux du commerce et de l'industrie, de la nécessité d'une station intérieure reliant la Meuse au chemin de fer, de l'avenir de Liège sous l'influence de ces améliorations",1845,6,104,"La Meuse, Liege",14,,7,Library,Liège,,0,1617,2,"Printed wraps, 15 x 23 cm, [half title][title], 1 pp, 118 pgs, 5 pps, 2 folding plates",,,Author name taken from Worldcat listing,,"Franck, Mathieu","Good, cover worn",Yes,,1/29/2017,,,,On shelf,,,0
3348,1513,"Lanino, Giuseppe",Ferrovia Foggia-Napoli : Gallerie per la traversata dell'appennino - Desegni,1875,6,102,Foggia- Napoli,6,,1,Library,"Foggia, Napoli",,0,919,11,"Printed boards, 29 x 41 cm, [title], 2 double folded maps, 8 double plates",,,,,"Lanino, Giuseppe",Very good,Yes,,1/29/2017,,,,On shelf,,,0
3349,1514,"Huang, Yi",Map of the grand or imperial canal: illustration of river conservancy projects for a memorial to the throne (hegong tu gongzhe),1783,7,104,"Grand (Imperial) Canal, China",10,,1,Library,Jining,,0,177,22,"Folding map in boards, 10 x 20.5 cm (exterior), map 10 x 204 cm, manuscript pen and ink with colour on paper, 13 manuscript pasted on notes, 3 red stamps",,Floyd Scully,"Description pg 43, ""All under heaven, the Chinese world in maps, pictures, and texts from the collection of Floyd Sully"", curated by Walter Davis, University of Alberta Libraries, Edmonton, 2013",Asian Collection,Huang Yi,"Good, joints weak",Yes,Yes,1/29/2017,4/7/2017,,,On shelf,,,0
3350,1515,Mathematics manuscript,'Notes on mathematics',1845,6,51,Mathematics and geometry,9,,4,Archive,Hannover,,0,1486,8,"Marbled paper covered boards with leather spine, with a paper titling label on upper cover, 21 x 32cm, 340 pp., 1 plate tipped in.","Manuscript on mathematics with some geometrical drawings, including a 'cycloiden'",Bookplate: Juniata College Library.,,,,Good,,,1/31/2017,3/11/2018,,,Cabinet Box 7,,,0
3351,1516,Metallurgy manuscript,Métallurgie: Etude des aciers et fontes …,1900?,6,59,Metallurgy,5,,4,Archive,Brussels,,0,1486,2,"Black leather with spine stamped in gold, original green wrappers bound in, 22 x 28.5cm, 79 pp., mansuscript carbon copy leaves, with blank leaves interleaved; 5 sheets of manuscript diagrams and forumlas laid in at back.","Notebook on metallurgy, possibly for a course?","Inittials ""C.M."" stamped at base of spine; ""Musé commerciale, rue des Augustins, Bruxelles"" in manuscript on front endpaper.",,,,,Yes,,1/31/2017,3/11/2018,,,Cabinet Box 5,,,0
3352,1517,Mathematics manuscript,"A system of arithmetic of abstract numbers, part I",1850c,6,51,Arithmetic,9,,1,Library,Perth (England),,0,1486,1,"Half bound in marbled paper and red leather, 21 x 26cm, 150 pp. manuscript in ink.",Manuscript on arithmetic with several diagrams and tables.,"Binder's ticket: James Dewar, Bookseller Stationer & Bookbinder, Perth.",Both boards detached.,,,Good,,,1/31/2017,3/11/2018,,,,,,0
